film_id,name,city,rental_count
450,Children,Woodridge,20
535,Horror,Lethbridge,20
228,Classics,Woodridge,19
759,New,Woodridge,19
396,Drama,Woodridge,19
875,Sports,Woodridge,19
838,Action,Woodridge,18
489,Animation,Lethbridge,18
688,Children,Woodridge,18
735,Children,Woodridge,18
730,New,Woodridge,18
938,Comedy,Lethbridge,18
791,Documentary,Woodridge,18
870,Horror,Woodridge,18
474,Sports,Woodridge,18
753,Family,Woodridge,18
603,Family,Lethbridge,18
738,Foreign,Woodridge,18
545,Foreign,Lethbridge,18
285,Sci-Fi,Woodridge,18
971,Foreign,Lethbridge,18
941,Games,Lethbridge,18
8,Horror,Woodridge,18
55,Sci-Fi,Lethbridge,18
854,Horror,Woodridge,17
995,Horror,Lethbridge,17
748,Action,Woodridge,17
267,New,Lethbridge,17
649,Animation,Woodridge,17
349,Animation,Lethbridge,17
433,Animation,Lethbridge,17
510,Animation,Lethbridge,17
953,Animation,Lethbridge,17
626,Children,Woodridge,17
760,New,Woodridge,17
103,Travel,Lethbridge,17
891,Classics,Woodridge,17
951,Classics,Woodridge,17
131,Classics,Lethbridge,17
561,New,Lethbridge,17
358,Classics,Lethbridge,17
895,Classics,Lethbridge,17
119,Comedy,Woodridge,17
86,Music,Lethbridge,17
265,Comedy,Lethbridge,17
572,Sci-Fi,Woodridge,17
58,Documentary,Woodridge,17
552,Documentary,Woodridge,17
101,Documentary,Lethbridge,17
299,Travel,Lethbridge,17
973,Documentary,Lethbridge,17
398,Music,Woodridge,17
878,Travel,Woodridge,17
135,Sports,Woodridge,17
309,Family,Woodridge,17
348,Family,Woodridge,17
437,Family,Woodridge,17
621,Family,Woodridge,17
391,Family,Lethbridge,17
428,Family,Lethbridge,17
702,Horror,Lethbridge,17
353,Foreign,Woodridge,17
103,Travel,Woodridge,17
641,Foreign,Woodridge,17
331,Games,Woodridge,17
767,Music,Lethbridge,17
288,Travel,Woodridge,17
563,Games,Lethbridge,17
527,Horror,Woodridge,17
111,Action,Woodridge,16
130,Action,Woodridge,16
850,Action,Woodridge,16
303,Action,Lethbridge,16
927,Action,Lethbridge,16
154,Animation,Woodridge,16
181,Travel,Woodridge,16
260,Sports,Woodridge,16
239,Animation,Lethbridge,16
220,Music,Woodridge,16
865,Animation,Lethbridge,16
491,Children,Woodridge,16
284,Music,Woodridge,16
852,Children,Lethbridge,16
873,Children,Lethbridge,16
42,Sports,Woodridge,16
525,Classics,Woodridge,16
686,New,Lethbridge,16
341,Classics,Lethbridge,16
809,Sports,Woodridge,16
203,Sci-Fi,Woodridge,16
159,Comedy,Lethbridge,16
369,Sci-Fi,Woodridge,16
1000,Comedy,Lethbridge,16
40,Documentary,Woodridge,16
85,Documentary,Woodridge,16
687,Documentary,Woodridge,16
945,Documentary,Woodridge,16
966,Documentary,Woodridge,16
295,Documentary,Lethbridge,16
427,Documentary,Lethbridge,16
114,Sci-Fi,Lethbridge,16
418,Drama,Woodridge,16
109,New,Lethbridge,16
179,Drama,Lethbridge,16
366,Drama,Lethbridge,16
403,Drama,Lethbridge,16
305,New,Lethbridge,16
521,Drama,Lethbridge,16
969,Drama,Lethbridge,16
979,Drama,Lethbridge,16
31,Family,Woodridge,16
676,Sports,Woodridge,16
678,Sports,Lethbridge,16
374,Sci-Fi,Woodridge,16
382,Games,Woodridge,16
741,Music,Lethbridge,16
624,Games,Woodridge,16
382,Games,Lethbridge,16
447,Games,Lethbridge,16
893,Sci-Fi,Woodridge,16
956,Games,Lethbridge,16
526,Travel,Woodridge,16
609,Travel,Woodridge,16
67,Action,Woodridge,15
176,Sports,Woodridge,15
697,Action,Woodridge,15
707,Action,Woodridge,15
869,Action,Woodridge,15
982,Action,Woodridge,15
253,Action,Lethbridge,15
327,Action,Lethbridge,15
395,Action,Lethbridge,15
417,Action,Lethbridge,15
494,Horror,Lethbridge,15
732,Action,Lethbridge,15
869,Action,Lethbridge,15
911,Action,Lethbridge,15
378,Music,Lethbridge,15
326,Animation,Woodridge,15
615,Animation,Woodridge,15
651,Animation,Woodridge,15
45,New,Lethbridge,15
989,Travel,Lethbridge,15
330,Animation,Lethbridge,15
690,Animation,Lethbridge,15
244,Music,Lethbridge,15
849,Animation,Lethbridge,15
887,Animation,Lethbridge,15
901,Animation,Lethbridge,15
559,Sci-Fi,Woodridge,15
505,Children,Woodridge,15
588,Children,Woodridge,15
872,Travel,Woodridge,15
110,Children,Lethbridge,15
152,Children,Lethbridge,15
304,Children,Lethbridge,15
356,Children,Lethbridge,15
468,Children,Lethbridge,15
970,Classics,Woodridge,15
166,Classics,Lethbridge,15
962,Classics,Lethbridge,15
127,Comedy,Woodridge,15
247,Comedy,Woodridge,15
638,Comedy,Woodridge,15
680,Comedy,Woodridge,15
598,Sports,Lethbridge,15
858,Comedy,Woodridge,15
1000,Comedy,Woodridge,15
28,Comedy,Lethbridge,15
127,Comedy,Lethbridge,15
529,Comedy,Lethbridge,15
879,Music,Lethbridge,15
150,Documentary,Woodridge,15
206,Documentary,Woodridge,15
830,Horror,Woodridge,15
571,Documentary,Woodridge,15
589,Documentary,Woodridge,15
320,New,Woodridge,15
367,Sci-Fi,Lethbridge,15
84,Travel,Lethbridge,15
914,Travel,Woodridge,15
301,Horror,Lethbridge,15
167,Travel,Lethbridge,15
369,Sci-Fi,Lethbridge,15
559,Sci-Fi,Lethbridge,15
514,Drama,Woodridge,15
618,Drama,Woodridge,15
706,Drama,Woodridge,15
958,Drama,Woodridge,15
61,Drama,Lethbridge,15
172,Drama,Lethbridge,15
272,Drama,Lethbridge,15
985,Sci-Fi,Lethbridge,15
418,Drama,Lethbridge,15
683,Drama,Lethbridge,15
775,Drama,Lethbridge,15
897,Drama,Lethbridge,15
907,Drama,Lethbridge,15
767,Music,Woodridge,15
361,Sports,Woodridge,15
532,Sports,Woodridge,15
476,Family,Woodridge,15
764,Sports,Woodridge,15
634,Family,Woodridge,15
31,Family,Lethbridge,15
442,Family,Lethbridge,15
715,Family,Lethbridge,15
795,Family,Lethbridge,15
322,Sports,Lethbridge,15
416,Foreign,Woodridge,15
421,Foreign,Woodridge,15
452,Foreign,Woodridge,15
531,Foreign,Woodridge,15
770,Foreign,Woodridge,15
789,Foreign,Woodridge,15
792,Foreign,Woodridge,15
73,Sci-Fi,Woodridge,15
100,Foreign,Lethbridge,15
137,Sci-Fi,Woodridge,15
201,Foreign,Lethbridge,15
122,Horror,Lethbridge,15
486,Foreign,Lethbridge,15
595,Foreign,Lethbridge,15
738,Foreign,Lethbridge,15
789,Foreign,Lethbridge,15
961,Foreign,Lethbridge,15
236,Games,Woodridge,15
406,Games,Woodridge,15
902,Sports,Lethbridge,15
976,Games,Woodridge,15
117,Games,Lethbridge,15
331,Games,Lethbridge,15
12,Music,Woodridge,15
334,Horror,Woodridge,15
174,Music,Woodridge,15
162,Action,Woodridge,14
205,Action,Lethbridge,14
109,New,Woodridge,14
271,Action,Lethbridge,14
360,Action,Lethbridge,14
793,Action,Lethbridge,14
361,Sports,Lethbridge,14
915,Action,Lethbridge,14
968,Action,Lethbridge,14
239,Animation,Woodridge,14
847,New,Woodridge,14
489,Animation,Woodridge,14
644,Animation,Woodridge,14
