customer_id,rental_date,city
1,"2005-05-25 11:30:37",Sasebo
1,"2005-05-28 10:35:23",Sasebo
1,"2005-06-15 00:54:12",Sasebo
1,"2005-06-15 18:02:53",Sasebo
1,"2005-06-15 21:08:46",Sasebo
1,"2005-06-16 15:18:57",Sasebo
1,"2005-06-18 08:41:48",Sasebo
1,"2005-06-18 13:33:59",Sasebo
1,"2005-06-21 06:24:45",Sasebo
1,"2005-07-08 03:17:05",Sasebo
1,"2005-07-08 07:33:56",Sasebo
1,"2005-07-09 13:24:07",Sasebo
1,"2005-07-09 16:38:01",Sasebo
1,"2005-07-11 10:13:46",Sasebo
1,"2005-07-27 11:31:22",Sasebo
1,"2005-07-28 09:04:45",Sasebo
1,"2005-07-28 16:18:23",Sasebo
1,"2005-07-28 17:33:39",Sasebo
1,"2005-07-28 19:20:07",Sasebo
1,"2005-07-29 03:58:49",Sasebo
1,"2005-07-31 02:42:18",Sasebo
1,"2005-08-01 08:51:04",Sasebo
1,"2005-08-02 15:36:52",Sasebo
1,"2005-08-02 18:01:38",Sasebo
1,"2005-08-17 12:37:54",Sasebo
1,"2005-08-18 03:57:29",Sasebo
1,"2005-08-19 09:55:16",Sasebo
1,"2005-08-19 13:56:54",Sasebo
1,"2005-08-21 23:33:57",Sasebo
1,"2005-08-22 01:27:57",Sasebo
1,"2005-08-22 19:41:37",Sasebo
1,"2005-08-22 20:03:46",Sasebo
2,"2005-05-27 00:09:24","San Bernardino"
2,"2005-06-17 20:54:58","San Bernardino"
2,"2005-07-10 06:31:24","San Bernardino"
2,"2005-07-10 12:38:56","San Bernardino"
2,"2005-07-27 14:30:42","San Bernardino"
2,"2005-07-27 15:23:02","San Bernardino"
2,"2005-07-27 18:40:20","San Bernardino"
2,"2005-07-29 00:12:59","San Bernardino"
2,"2005-07-29 12:56:59","San Bernardino"
2,"2005-07-29 17:14:29","San Bernardino"
2,"2005-07-30 06:06:10","San Bernardino"
2,"2005-07-30 13:47:43","San Bernardino"
2,"2005-07-30 14:14:11","San Bernardino"
2,"2005-07-30 16:21:13","San Bernardino"
2,"2005-07-30 22:39:53","San Bernardino"
2,"2005-07-31 21:58:56","San Bernardino"
2,"2005-08-01 09:45:26","San Bernardino"
2,"2005-08-02 02:10:56","San Bernardino"
2,"2005-08-02 07:41:41","San Bernardino"
2,"2005-08-02 10:43:48","San Bernardino"
2,"2005-08-02 13:44:53","San Bernardino"
2,"2005-08-17 03:52:18","San Bernardino"
2,"2005-08-19 06:26:04","San Bernardino"
2,"2005-08-21 13:24:32","San Bernardino"
2,"2005-08-21 22:41:56","San Bernardino"
2,"2005-08-22 13:53:04","San Bernardino"
2,"2005-08-23 17:39:35","San Bernardino"
3,"2005-05-27 17:17:09",Athenai
3,"2005-05-29 22:43:55",Athenai
3,"2005-06-16 01:34:05",Athenai
3,"2005-06-16 15:19:10",Athenai
3,"2005-06-17 05:15:15",Athenai
3,"2005-06-19 08:34:53",Athenai
3,"2005-07-07 10:23:25",Athenai
3,"2005-07-08 12:47:11",Athenai
3,"2005-07-27 04:54:42",Athenai
3,"2005-07-27 20:23:12",Athenai
3,"2005-07-28 03:59:21",Athenai
3,"2005-07-28 04:46:30",Athenai
3,"2005-07-28 11:46:45",Athenai
3,"2005-07-28 18:17:14",Athenai
3,"2005-07-29 11:07:04",Athenai
3,"2005-07-30 13:31:20",Athenai
3,"2005-07-30 21:45:46",Athenai
3,"2005-07-31 03:27:58",Athenai
3,"2005-07-31 11:32:58",Athenai
3,"2005-08-01 14:19:48",Athenai
3,"2005-08-18 14:49:55",Athenai
3,"2005-08-19 22:18:07",Athenai
3,"2005-08-20 06:14:12",Athenai
3,"2005-08-21 20:50:48",Athenai
3,"2005-08-22 09:37:27",Athenai
3,"2005-08-23 07:10:14",Athenai
4,"2005-06-15 09:31:28",Myingyan
4,"2005-06-16 08:08:40",Myingyan
4,"2005-06-16 14:01:27",Myingyan
4,"2005-06-16 15:51:52",Myingyan
4,"2005-06-17 14:31:12",Myingyan
4,"2005-06-19 09:39:01",Myingyan
4,"2005-07-28 02:10:10",Myingyan
4,"2005-07-28 04:37:59",Myingyan
4,"2005-07-29 18:44:57",Myingyan
4,"2005-07-30 08:46:09",Myingyan
4,"2005-07-30 18:58:00",Myingyan
4,"2005-08-02 07:09:34",Myingyan
4,"2005-08-02 08:20:31",Myingyan
4,"2005-08-17 00:28:01",Myingyan
4,"2005-08-18 00:14:03",Myingyan
4,"2005-08-18 05:14:44",Myingyan
4,"2005-08-19 02:19:13",Myingyan
4,"2005-08-20 09:32:04",Myingyan
4,"2005-08-20 12:55:40",Myingyan
4,"2005-08-21 04:53:37",Myingyan
4,"2005-08-22 13:58:23",Myingyan
4,"2005-08-23 07:43:00",Myingyan
5,"2005-05-29 07:25:16",Nantou
5,"2005-05-31 11:15:43",Nantou
5,"2005-05-31 19:46:38",Nantou
5,"2005-06-15 22:03:14",Nantou
5,"2005-06-16 08:01:02",Nantou
5,"2005-06-17 15:56:53",Nantou
5,"2005-06-19 04:20:13",Nantou
5,"2005-06-20 18:38:22",Nantou
5,"2005-07-06 09:11:58",Nantou
5,"2005-07-08 20:04:43",Nantou
5,"2005-07-09 01:57:57",Nantou
5,"2005-07-09 07:13:52",Nantou
5,"2005-07-09 08:51:42",Nantou
5,"2005-07-10 11:09:35",Nantou
5,"2005-07-11 03:17:04",Nantou
5,"2005-07-12 11:27:35",Nantou
