inventory_id,film_id,language_id,name
1,1,1,English
2,1,1,English
3,1,1,English
4,1,1,English
5,1,1,English
6,1,1,English
7,1,1,English
8,1,1,English
9,2,1,English
10,2,1,English
11,2,1,English
12,3,1,English
13,3,1,English
14,3,1,English
15,3,1,English
16,4,1,English
17,4,1,English
18,4,1,English
19,4,1,English
20,4,1,English
21,4,1,English
22,4,1,English
23,5,1,English
24,5,1,English
25,5,1,English
26,6,1,English
27,6,1,English
28,6,1,English
29,6,1,English
30,6,1,English
31,6,1,English
32,7,1,English
33,7,1,English
34,7,1,English
35,7,1,English
36,7,1,English
37,8,1,English
38,8,1,English
39,8,1,English
40,8,1,English
41,9,1,English
42,9,1,English
43,9,1,English
44,9,1,English
45,9,1,English
46,10,1,English
47,10,1,English
48,10,1,English
49,10,1,English
50,10,1,English
51,10,1,English
52,10,1,English
53,11,1,English
54,11,1,English
55,11,1,English
56,11,1,English
57,11,1,English
58,11,1,English
59,11,1,English
60,12,1,English
61,12,1,English
62,12,1,English
63,12,1,English
64,12,1,English
65,12,1,English
66,12,1,English
67,13,1,English
68,13,1,English
69,13,1,English
70,13,1,English
71,15,1,English
72,15,1,English
73,15,1,English
74,15,1,English
75,15,1,English
76,15,1,English
77,16,1,English
78,16,1,English
79,16,1,English
80,16,1,English
81,17,1,English
82,17,1,English
83,17,1,English
84,17,1,English
85,17,1,English
86,17,1,English
87,18,1,English
88,18,1,English
89,18,1,English
90,18,1,English
91,18,1,English
92,18,1,English
93,19,1,English
94,19,1,English
95,19,1,English
96,19,1,English
97,19,1,English
98,19,1,English
99,20,1,English
100,20,1,English
101,20,1,English
102,21,1,English
103,21,1,English
104,21,1,English
105,21,1,English
106,21,1,English
107,21,1,English
108,22,1,English
109,22,1,English
110,22,1,English
111,22,1,English
112,22,1,English
113,22,1,English
114,22,1,English
115,23,1,English
116,23,1,English
117,23,1,English
118,23,1,English
119,23,1,English
120,24,1,English
121,24,1,English
122,24,1,English
123,24,1,English
124,25,1,English
125,25,1,English
126,25,1,English
127,25,1,English
128,25,1,English
129,25,1,English
130,26,1,English
131,26,1,English
132,26,1,English
133,26,1,English
134,26,1,English
135,27,1,English
136,27,1,English
137,27,1,English
138,27,1,English
139,28,1,English
140,28,1,English
141,28,1,English
142,29,1,English
143,29,1,English
144,30,1,English
145,30,1,English
146,31,1,English
147,31,1,English
148,31,1,English
149,31,1,English
150,31,1,English
151,31,1,English
152,31,1,English
153,31,1,English
154,32,1,English
155,32,1,English
156,34,1,English
157,34,1,English
158,34,1,English
159,34,1,English
160,35,1,English
161,35,1,English
162,35,1,English
163,35,1,English
164,35,1,English
165,35,1,English
166,35,1,English
167,37,1,English
168,37,1,English
169,37,1,English
170,37,1,English
171,37,1,English
172,37,1,English
173,37,1,English
174,39,1,English
175,39,1,English
176,39,1,English
177,39,1,English
178,39,1,English
179,39,1,English
180,39,1,English
181,40,1,English
182,40,1,English
183,40,1,English
184,40,1,English
185,42,1,English
186,42,1,English
187,42,1,English
188,42,1,English
189,43,1,English
190,43,1,English
191,43,1,English
192,43,1,English
193,43,1,English
194,43,1,English
195,43,1,English
196,44,1,English
197,44,1,English
198,44,1,English
199,44,1,English
200,44,1,English
201,45,1,English
202,45,1,English
203,45,1,English
204,45,1,English
205,45,1,English
206,45,1,English
207,46,1,English
208,46,1,English
209,46,1,English
210,47,1,English
211,47,1,English
212,48,1,English
213,48,1,English
214,48,1,English
215,48,1,English
216,49,1,English
217,49,1,English
218,49,1,English
219,49,1,English
220,49,1,English
221,49,1,English
222,50,1,English
223,50,1,English
224,50,1,English
225,50,1,English
226,50,1,English
227,51,1,English
228,51,1,English
229,51,1,English
230,51,1,English
231,51,1,English
232,51,1,English
233,52,1,English
234,52,1,English
235,53,1,English
236,53,1,English
237,54,1,English
238,54,1,English
239,54,1,English
240,54,1,English
241,54,1,English
242,55,1,English
243,55,1,English
244,55,1,English
245,55,1,English
246,55,1,English
247,55,1,English
248,56,1,English
249,56,1,English
250,56,1,English
251,56,1,English
252,56,1,English
253,57,1,English
254,57,1,English
255,57,1,English
256,57,1,English
257,57,1,English
258,57,1,English
259,57,1,English
260,58,1,English
261,58,1,English
262,58,1,English
263,58,1,English
264,59,1,English
265,59,1,English
266,59,1,English
267,59,1,English
268,59,1,English
269,60,1,English
270,60,1,English
271,60,1,English
272,61,1,English
273,61,1,English
274,61,1,English
275,61,1,English
276,61,1,English
277,61,1,English
278,62,1,English
279,62,1,English
280,63,1,English
281,63,1,English
282,63,1,English
283,63,1,English
284,64,1,English
285,64,1,English
286,64,1,English
287,65,1,English
288,65,1,English
289,65,1,English
290,65,1,English
291,66,1,English
292,66,1,English
293,66,1,English
294,67,1,English
295,67,1,English
296,67,1,English
297,67,1,English
298,67,1,English
299,67,1,English
300,68,1,English
301,68,1,English
302,68,1,English
303,68,1,English
304,69,1,English
305,69,1,English
306,69,1,English
307,69,1,English
308,69,1,English
309,69,1,English
310,69,1,English
311,69,1,English
312,70,1,English
313,70,1,English
314,70,1,English
315,70,1,English
316,71,1,English
317,71,1,English
318,71,1,English
319,71,1,English
320,72,1,English
321,72,1,English
